# i,j,covariance_ij
17,7,8.751184144596096e-08
17,8,2.241897793118445e-05
17,9,-2.1046714630858035e-05
17,10,3.294139985532138e-05
17,11,-2.876758006931192e-05
17,12,4.1662766343999674e-05
17,13,5.6471287854645016e-05
17,14,3.747605140315029e-05
17,15,0.0001195997301967638
17,16,0.0002393324044365694
17,17,0.00045717866257535177
17,18,-0.0006019356246900368
17,19,-0.00025750963204494205
17,20,-0.00010026399166435094
17,21,-7.183193077817995e-05
17,22,-1.7858514913715e-05
17,23,0.0
17,24,0.0
17,25,0.0
18,0,1.3186381230237317e-05
18,1,1.8290056827121858e-05
18,2,2.304582223517506e-05
18,3,-6.240491053320638e-05
18,4,-3.46657157557339e-05
18,5,7.292178014349967e-06
18,6,-1.7432795728227266e-05
18,7,1.0296570979467747e-06
18,8,-2.9925074620877547e-05
18,9,2.7244203884524798e-05
18,10,-4.0361115184863704e-05
18,11,3.779815411903785e-05
18,12,-5.7000185416106524e-05
18,13,-7.912913323958833e-05
18,14,-4.9937040993401734e-05
18,15,-0.00015707710813423273
18,16,-0.0003157155075317297
18,17,-0.0006019356246900368
18,18,0.0007940301192560084
18,19,0.00034303656338681876
18,20,0.00013428733292551297
18,21,9.18302477034218e-05
18,22,1.1163862642203536e-05
18,23,0.0
18,24,0.0
18,25,0.0
19,0,6.284292442047054e-06
19,1,9.300144412151316e-06
19,2,1.3863464868954679e-05
19,3,-2.331668135539529e-05
19,4,-6.616408571405089e-06
19,5,3.5376831937702278e-06
19,6,-9.11708370711103e-06
19,7,2.9910944996748215e-06
19,8,-1.3709985747658074e-05
19,9,1.0615733577319679e-05
19,10,-1.055955671434772e-05
19,11,1.599607639818475e-05
19,12,-2.9165089255403476e-05
19,13,-4.449466843973857e-05
19,14,-2.2688556019728764e-05
19,15,-6.632555097525304e-05
19,16,-0.00013640737597962174
19,17,-0.00025750963204494205
19,18,0.00034303656338681876
19,19,0.0001556441036152358
19,20,6.252047821434017e-05
19,21,3.3167787741153296e-05
19,22,-2.273613727065019e-05
19,23,0.0
19,24,0.0
19,25,0.0
20,0,2.585634642225996e-06
20,1,3.939531748661841e-06
20,2,6.262001851128654e-06
20,3,-8.349142028082396e-06
20,4,-8.037142767901025e-07
20,5,1.4676494609102506e-06
20,6,-3.907891549310492e-06
20,7,1.715015019002036e-06
20,8,-5.5340535925762715e-06
20,9,3.9090470119810875e-06
20,10,-2.6641413749008305e-06
20,11,6.190671259725433e-06
20,12,-1.2387269566157819e-05
20,13,-1.9621137601884183e-05
20,14,-9.120022794059416e-06
20,15,-2.5636259632196476e-05
20,16,-5.340150619504626e-05
