# i,j,covariance_ij
19,1,-2.730192344259151e-06
19,2,2.360868842222454e-06
19,3,-2.826464789983577e-06
19,4,-7.379675292459869e-06
19,5,-5.648036610536609e-06
19,6,-1.1680854387707225e-05
19,7,-1.3799146101268112e-05
19,8,-1.05702561057329e-05
19,9,-6.72897888935714e-06
19,10,-1.2092395964473887e-05
19,11,-2.2046242821744352e-05
19,12,-1.6027646499786032e-05
19,13,-2.2983124457413312e-05
19,14,-1.6472923626714323e-05
19,15,-2.5818567930355488e-06
19,16,-0.00011559147367690243
19,17,-0.0003674375897372653
19,18,0.00018902697614116553
19,19,0.0002264865410102329
19,20,9.856019140091681e-05
19,21,4.138010865290118e-05
19,22,6.035323772800758e-07
19,23,0.0
19,24,0.0
19,25,0.0
20,0,1.6830931785015139e-06
20,1,-1.2268881039719267e-06
20,2,9.426251727774682e-07
20,3,-1.0771260315487383e-06
20,4,-3.192741820325809e-06
20,5,-2.43798173715753e-06
20,6,-4.976329935387755e-06
20,7,-5.843512344002472e-06
20,8,-4.466694759243251e-06
20,9,-2.9417442385935565e-06
20,10,-5.273941446299422e-06
20,11,-9.501597344190421e-06
20,12,-6.821808971984783e-06
20,13,-9.87698141232977e-06
20,14,-7.141347928830584e-06
20,15,-4.4315146378231805e-07
20,16,-4.85112313587945e-05
20,17,-0.00015832072362948634
20,18,7.587657797267131e-05
20,19,9.856019140091681e-05
20,20,4.557547567811892e-05
20,21,1.967621980243801e-05
20,22,-2.8952700002359246e-06
20,23,0.0
20,24,0.0
20,25,0.0
21,0,5.756663882326955e-07
21,1,-2.1661217420835338e-07
21,2,-5.606721920898028e-07
21,3,-9.982671270063425e-07
21,4,-2.70890391615212e-06
21,5,-2.316306255478549e-06
21,6,-2.3705626269255033e-06
21,7,-2.828464790254355e-06
21,8,-3.6319524980563065e-06
21,9,-4.2139284812596926e-06
21,10,-5.998108288900849e-06
21,11,-8.762856054707497e-06
21,12,-8.513919869248865e-06
21,13,-6.944964677563172e-06
21,14,-8.17780997734868e-06
21,15,-3.1996207700957274e-06
21,16,-2.4766762756392833e-05
21,17,-9.647562845322013e-05
21,18,-1.469969224294969e-05
21,19,4.138010865290118e-05
21,20,1.967621980243801e-05
21,21,0.00021899654601926927
21,22,-7.123358459631446e-05
21,23,0.0
21,24,0.0
21,25,0.0
22,0,1.0088132390155797e-06
22,1,-3.183255072410685e-08
22,2,5.480300363182665e-07
22,3,-2.4391173388795147e-07
22,4,4.4720658621872317e-07
22,5,3.366391714467973e-07
22,6,-5.159438097269528e-07
22,7,-7.169491275589393e-07
22,8,-1.631341769596312e-07
22,9,7.756342819042262e-07
22,10,7.210254719667534e-07
22,11,4.0342562340080817e-07
22,12,7.798045056972335e-07
22,13,7.242337690882118e-08
22,14,8.823389034730981e-07
22,15,-1.4919609091953405e-06
22,16,-6.797257224114787e-06
22,17,-4.154080900689769e-06
22,18,3.0054923468549877e-05
22,19,6.035323772800758e-07
22,20,-2.8952700002359246e-06
22,21,-7.123358459631446e-05
22,22,5.094875972741254e-05
22,23,0.0
22,24,0.0
22,25,0.0
23,0,0.0
23,1,0.0
23,2,0.0
23,3,0.0
23,4,0.0
23,5,0.0
23,6,0.0
23,7,0.0
23,8,0.0
23,9,0.0
23,10,0.0
23,11,0.0
23,12,0.0
23,13,0.0
23,14,0.0
23,15,0.0
23,16,0.0
23,17,0.0
23,18,0.0
23,19,0.0
23,20,0.0
23,21,0.0
23,22,0.0
23,23,0.0
23,24,0.0
23,25,0.0
24,0,0.0
24,1,0.0
24,2,0.0
24,3,0.0
24,4,0.0
24,5,0.0
24,6,0.0
24,7,0.0
24,8,0.0
24,9,0.0
24,10,0.0
24,11,0.0
24,12,0.0
24,13,0.0
24,14,0.0
24,15,0.0
24,16,0.0
24,17,0.0
24,18,0.0
24,19,0.0
24,20,0.0
24,21,0.0
24,22,0.0
24,23,0.0
24,24,0.0
24,25,0.0
25,0,0.0
25,1,0.0
25,2,0.0
25,3,0.0
25,4,0.0
25,5,0.0
25,6,0.0
25,7,0.0
25,8,0.0
25,9,0.0
25,10,0.0
25,11,0.0
25,12,0.0
25,13,0.0
25,14,0.0
25,15,0.0
25,16,0.0
25,17,0.0
25,18,0.0
25,19,0.0
25,20,0.0
25,21,0.0
25,22,0.0
25,23,0.0
25,24,0.0
25,25,0.0
