# i,j,covariance_ij
20,16,-0.0001170770188660886
20,17,-0.00016931474608635502
20,18,0.0005374199274919072
20,19,-0.0003175182974943313
20,20,6.328349690495796e-05
20,21,8.113476633201334e-05
20,22,9.183759757118235e-05
20,23,-7.486502772907116e-05
20,24,-3.152994482855136e-05
20,25,-1.1288293459402357e-05
21,0,7.768885817547136e-07
21,1,-4.149417427848622e-06
21,2,-2.8478918752296173e-05
21,3,5.639202755562892e-06
21,4,-1.0138337541175183e-05
21,5,3.0719872516637617e-06
21,6,2.039606734043202e-06
21,7,-2.258519263947725e-06
21,8,-4.221990974286873e-06
21,9,2.574860380358991e-06
21,10,1.1142306924606174e-05
21,11,-9.837904623851642e-05
21,12,-3.809117132919324e-05
21,13,2.3693956625685284e-06
21,14,2.446549175417427e-05
21,15,3.647537255949231e-05
21,16,-0.00015010258650552876
21,17,-0.0002170757469504554
21,18,0.0006890175538925901
21,19,-0.00040708516648552877
21,20,8.113476633201334e-05
21,21,0.00010402159535584494
21,22,0.00011774352530837446
21,23,-9.598326306715213e-05
21,24,-4.042404151540124e-05
21,25,-1.4472541766952362e-05
22,0,8.793712505052769e-07
22,1,-4.696784684560713e-06
22,2,-3.2235693746045865e-05
22,3,6.38309391523253e-06
22,4,-1.1475728657887076e-05
22,5,3.477226122863455e-06
22,6,2.3086599113138168e-06
22,7,-2.5564501217692383e-06
22,8,-4.778931715401174e-06
22,9,2.9145211369159643e-06
22,10,1.2612135902002641e-05
22,11,-0.00011135664359859893
22,12,-4.3115939340113976e-05
22,13,2.681952696522591e-06
22,14,2.7692838565733283e-05
22,15,4.128699369971401e-05
22,16,-0.00016990325549812017
22,17,-0.00024571112966937465
22,18,0.0007799087825671184
22,19,-0.000460785497845755
22,20,9.183759757118235e-05
22,21,0.00011774352530837446
22,22,0.00013327557325590306
22,23,-0.00010864482250504695
22,24,-4.575654832973085e-05
22,25,-1.638167615084469e-05
23,0,-7.168540422913194e-07
23,1,3.828768662797105e-06
23,2,2.6278192918679368e-05
23,3,-5.20342991976414e-06
23,4,9.354891317993258e-06
23,5,-2.8345975612727657e-06
23,6,-1.8819948784433203e-06
23,7,2.0839908089483504e-06
23,8,3.895734044126526e-06
23,9,-2.3758864724554285e-06
23,10,-1.0281278354373287e-05
23,11,9.077674537777082e-05
23,12,3.5147652809196044e-05
23,13,-2.1862991661731465e-06
23,14,-2.257490594212657e-05
23,15,-3.365671587590596e-05
23,16,0.0001385033174922421
23,17,0.0002003010860751364
23,18,-0.0006357733017545196
23,19,0.00037562741171052815
23,20,-7.486502772907116e-05
23,21,-9.598326306715213e-05
23,22,-0.00010864482250504695
23,23,8.856609781365428e-05
23,24,3.730024902749406e-05
23,25,1.3354167266092415e-05
24,0,-3.0190823524924044e-07
24,1,1.6125134573669762e-06
24,2,1.1067249930347005e-05
24,3,-2.191461931773097e-06
24,4,3.939879755349167e-06
24,5,-1.1938111482642388e-06
24,6,-7.926156776389177e-07
24,7,8.776877164480659e-07
24,8,1.6407164093030992e-06
24,9,-1.000621674335291e-06
24,10,-4.3300343179394814e-06
24,11,3.8231279147247825e-05
24,12,1.4802686748978495e-05
24,13,-9.207756168556006e-07
24,14,-9.507583987557792e-06
24,15,-1.417476793727903e-05
24,16,5.8331668224387175e-05
24,17,8.435824288882985e-05
24,18,-0.0002677604982707009
24,19,0.00015819818580960055
24,20,-3.152994482855136e-05
24,21,-4.042404151540124e-05
24,22,-4.575654832973085e-05
24,23,3.730024902749406e-05
24,24,1.570926812695786e-05
24,25,5.624203582143845e-06
25,0,-1.0808863687632057e-07
25,1,5.773091330471013e-07
25,2,3.962276676398713e-06
25,3,-7.845832121013607e-07
25,4,1.410548578977109e-06
25,5,-4.274060944283607e-07
25,6,-2.8377082225685085e-07
25,7,3.14228158750435e-07
25,8,5.874063025666651e-07
25,9,-3.5824075059931724e-07
25,10,-1.5502310053496443e-06
25,11,1.3687492974985064e-05
25,12,5.299630967281751e-06
25,13,-3.296544104294203e-07
25,14,-3.4038879143322056e-06
25,15,-5.074824617201359e-06
25,16,2.0883797687369158e-05
25,17,3.0201784577382183e-05
25,18,-9.586312623606139e-05
25,19,5.6637826544712055e-05
25,20,-1.1288293459402357e-05
25,21,-1.4472541766952362e-05
25,22,-1.638167615084469e-05
25,23,1.3354167266092415e-05
25,24,5.624203582143845e-06
25,25,2.013567129783608e-06
